dcbax
cbax
bax
ax
x
cbax/dbax
ax/bx/cx/dx
bax/cax
bax/bcx/bdx
bax/dcx
ax/bx
bax/cax/bdx
ax/bx/cx
cbax/d
bax/c
ax/b
bax/c/d
bax/dc
ax/b/c
ax/bx/dc
bax/bdc
ax/bx/cx/ad
ax/b/c/d
bax/bcx/bad
ax/bx/ac
ax/cb
cbax/cbad
ax/b/dc
ax/bx/ac/ad
ax/ab
bax/bac
ax/ab/dc
ax/dcb
x/a
bax/bac/bad
ax/ab/ac
ax/ab/ac/ad
x/a/b
x/ba
x/a/b/c
x/a/cb
x/a/b/c/d
x/cba
x/ba/dc
x/a/b/dc
x/a/dcb
x/dcba
