dcbax
cbax
bax
ax
x
bax/cax
cbax/dbax
bax/dcx
bax/cax/bdx
ax/bx
bax/bcx/bdx
ax/bx/cx
ax/bx/cx/dx
bax/bdc
ax/dcb
ax/bx/dc
bax/bcx/bad
ax/cb
ax/bx/cx/ad
x/dcba
x/cba
x/ba/dc
ax/bx/ac
bax/bac
bax/dc
cbad/cbax
cbax/cbad
ax/ab
bax/bac/bad
cbax/d
ax/bx/ac/ad
ax/ab/dc
x/a
ax/b
ax/b/dc
x/a/dcb
bax/c/d
x/a/cb
ax/b/c
bax/bac/bad
ax/ab/ac
x/a/b/dc
x/a/dcb
ax/ab/ac/ad
ax/b/c/d
x/a/b/c
x/a/b/c/d
